index,0
bonjour,578
doit,189
ans,276
environ,84
membre,16
showrooprive,28
jamais,1673
soucis,238
particulier,28
part,801
petites,74
bricoles,1
contre,363
depuis,1508
derniers,79
mois,1960
vraie,50
catastrophe,90
commandes,1274
annulees,38
affilies,2
demander,220
ventes,427
bien,3264
reelles,7
histoires,2
payer,320
showroom,963
joue,15
argent,529
faisant,45
interets,17
bancaires,22
dos,58
ere,117
commande,8180
machines,2
cafes,3
eur,1234
annule,187
don,4
call,1
jennifer,2
techwood,2
apprends,32
toujours,1934
mail,1197
message,224
bateau,32
malgre,448
tous,502
efforts,11
bla,43
evidemment,151
dedommagement,143
ben,40
non,1247
hein,5
pourquoi,204
doute,77
site,3297
aussi,436
fiable,67
serieux,333
debut,279
final,200
vais,536
juste,437
rester,42
fidele,150
autre,890
marchand,30
decevant,89
confiance,164
recommande,637
fais,284
entourage,29
reseaux,25
sociaux,20
afin,174
eviter,288
autres,540
personnes,149
connaissent,7
type,81
experience,330
vente,2493
lacoste,23
article,1713
manquant,114
photo,483
prise,142
articles,1701
moitie,173
livree,443
sans,1391
explication,111
manque,420
respect,151
numero,256
honteuse,8
errone,12
bon,1523
livraison,5073
retard,496
service,3294
client,2585
desastreux,24
deux,1004
appels,268
tenais,12
avertir,23
courageux,1
oseront,1
commander,530
contacter,287
pire,215
attentions,3
oreilles,83
interlocuteur,42
parle,89
environnement,7
bruyant,3
chantier,1
coup,314
marteaux,1
jet,2
materiaux,9
proximite,21
micro,5
demandez,19
cesser,5
nuisance,1
repond,314
entendent,3
erreur,479
crois,60
faut,556
envoyer,236
captures,5
ecran,62
convaincre,5
font,273
importe,130
quoi,317
arrive,956
plusieurs,890
comprendre,116
sait,78
impossible,545
obtenir,172
suivi,334
details,24
manquants,65
stock,324
propose,337
ndeg,108
beaucoup,591
inadmissible,262
fuyez,193
mules,10
marque,760
moosefield,1
decue,976
produit,2160
etiquette,170
collee,9
tache,25
moyen,125
telephone,657
etat,350
vieux,11
pourri,19
batterie,37
raye,21
partout,43
inaudible,1
super,496
affaire,120
euros,918
poubelle,39
merci,904
showroomprivee,39
passez,56
chemin,70
nuls,18
controlent,2
proposent,52
passee,238
date,730
prevue,432
deja,568
semaines,504
achat,1091
produits,1802
pro,34
aucun,982
geste,315
commercial,301
hormis,24
remboursement,2030
promis,42
annulation,203
attente,471
report,23
reprise,48
resultat,127
incomprehensible,12
mieux,206
vaut,120
aller,214
privee,1299
attend,135
extremement,135
apple,25
iphone,78
reconditionne,66
grade,21
fournisseur,212
prs,21
phone,9
recycle,5
fonctionne,147
jours,1434
sav,574
lamentable,151
jusqu,275
repondre,175
question,124
charge,200
frais,1281
retour,1620
reparation,45
lit,127
mails,497
diagonale,1
cote,167
encore,855
recupere,57
dernier,212
decu,702
achats,297
lors,313
dolores,1
promesas,1
recu,2428
vetements,337
sales,16
utilisees,5
option,34
mettre,272
etoile,161
trop,1171
contente,505
passe,801
mi,82
avril,190
juin,305
reponde,14
jennyfer,3
via,143
colis,3549
expedie,111
mondial,91
relay,103
arnaque,494
achete,601
combinaison,17
blanche,22
lieu,264
disant,518
traces,38
noires,22
bas,150
combi,7
surtout,412
transparente,9
bref,451
sous,415
couleur,298
chair,2
grosse,183
renvoyer,383
charges,8
esperant,44
etre,1505
remboursee,259
conseille,97
prive,399
point,629
relais,661
defini,4
deviee,1
origine,68
km,59
vouloir,36
transporteur,422
reponse,956
allez,98
chercher,115
remboursera,11
quelle,154
interre,1
attendre,402
amazon,96
ecoute,81
priorite,16
prendre,236
exemple,79
probleme,1001
retours,205
complique,59
defectueux,214
conseillers,38
ecoutent,1
repetent,10
pareils,4
hesiterais,7
desormais,50
attends,514
fete,27
peres,8
repoussee,31
mai,254
trouve,527
peu,969
exagere,6
delai,826
robes,128
achetees,17
privees,161
fille,145
dit,828
trou,34
regarde,53
toutes,251
defectueuses,16
niveau,193
couture,28
maille,6
sortie,17
retourne,298
prenant,15
peine,112
post,15
it,2
abimees,22
renvoie,126
gratuit,65
recois,504
effectue,234
sauf,261
enleve,23
reclamation,228
empeche,13
hasard,34
valide,50
marche,76
lache,14
veux,125
pris,265
photos,379
voleurs,181
showroomprive,831
vend,47
ipad,10
reconditionnes,19
mauvais,295
rejettent,2
faute,125
fournisseurs,23
laisse,166
demerder,3
doivent,74
appeler,171
janvier,182
sara,1
comprends,113
